UNIVERSITY INTERSCHOLASTIC LEAGUE
OFFICIAL CONCERT & SIGHTREADING CONTEST RESULTS
"Contest Date","Event","Region","School","TEA Code","City","Director","Additional Director","Accompanist","Conference","Classification","Non-Varsity Group","Entry Number","Title 1","Composer 1","Title 2","Composer 2","Title 3","Composer 3","Concert Judge","Concert Judge","Concert Judge","Concert Score 1","Concert Score 2","Concert Score 3","Concert Final Score","Sight Reading Judge","Sight Reading Judge","Sight Reading Judge","Sight Reading Score 1","Sight Reading Score 2","Sight Reading Score 3","Sight Reading Final Score","Award"
"03/09/2022","933-Tenor/Bass Chorus","26","Benold Middle School","1595943","Georgetown","Bryan W Pulver","Jason Gallardo","Barbara Lowrance","CC","Varsity","","170674","Sinner Man","Emerson","Cantate Hodie","Lightfoot","Follow the Drinking Gourd","Hill","Gretchen Guseman","Jordan Ricks","Leslie Tanner","1","2","1","1","David Beussman","Karen Lloyd","Andrea Snouffer","1","2","1","1","C"
"03/09/2022","933-Tenor/Bass Chorus","26","Canyon Vista Middle School","246909044","Austin","Raul Vara","","Stephen Maus","CCC","Varsity","","168540","We Shall Not Sleep (20695) (TTB) (accomp)","Farnell","Sea Remembrance (17787) (TB) (a cappella or accomp)(a cappella)","Farnell","Cantate Hodie! (Sing Today) (16955) (TTB) (accomp)","Lightfoot","Gretchen Guseman","Jordan Ricks","Leslie Tanner","1","1","1","1","David Beussman","Karen Lloyd","Andrea Snouffer","1","1","1","1","C"
"03/09/2022","933-Tenor/Bass Chorus","26","Canyon Vista Middle School/Grisham Middle School","246909044","Austin","Raul Vara","Misti Vara","Stephen Maus","CCC","Non-Varsity","","168541","Sinner Man (17788) (TB) (accomp)","Anon. or Trad./Emerson","The Vagabond (17790) (TB) (opt. accomp) (accomp)","Farnell","The Gallant Knight","Patterson","Gretchen Guseman","Jordan Ricks","Leslie Tanner","2","1","2","2","David Beussman","Karen Lloyd","Andrea Snouffer","1","1","1","1","2"
"03/09/2022","933-Tenor/Bass Chorus","26","Chisholm Trail Middle School","483808005803","Round Rock","Jillian Nidever","","Benjamin Tibbetts","CC","Varsity","","167733","What Shall We Do With a Drunken Sailor (16970) (TB) (accomp)","Anon. or Trad./Rentz","Rest Not (TB) (accomp)","Farnell","O Magnum Mysterium (20734) (a cappella)","Ramos","Gretchen Guseman","Jordan Ricks","Leslie Tanner","2","1","2","2","David Beussman","Karen Lloyd","Andrea Snouffer","1","1","1","1","2"
"03/09/2022","933-Tenor/Bass Chorus","26","Deerpark Middle School","449858","Austin","Rachelle McClellan","Veronica Lopez","Mark Henry","CC","Varsity","","168145","Sanctus! Sanctus! (24240) (TBB) (accomp)","Wolff","Now Let Me Fly (17011)","Anon. or Trad./Spevacek","Leave Her Johnny","Martin Schroeder","Gretchen Guseman","Jordan Ricks","Leslie Tanner","1","2","2","2","David Beussman","Karen Lloyd","Andrea Snouffer","1","1","1","1","2"
"03/09/2022","933-Tenor/Bass Chorus","26","Forbes Middle School","","Georgetown","Clint Fleming","","Barbara Lowrance","CC","Non-Varsity","A","169801","Loch Lomond (16969)","Anon. or Trad./Rentz","Three Latin Songs (18500)","Farnell/","Shady Grove","Estes","Gretchen Guseman","Jordan Ricks","Leslie Tanner","1","1","1","1","David Beussman","Karen Lloyd","Andrea Snouffer","1","1","1","1","D"
"03/09/2022","933-Tenor/Bass Chorus","26","Hopewell Middle School","935-2-33299	","Austin","Emma Hunsicker","","Linda Hester","CCC","Non-Varsity","","168069","Sons Of Art (12603)","Anon. or Trad./Crocker/Leavitt","My Lagan Love","Farnell","Go Down  Moses (15228)","Anon. or Trad./Arthur","Gretchen Guseman","Jordan Ricks","Leslie Tanner","2","2","2","2","David Beussman","Karen Lloyd","Andrea Snouffer","1","1","1","1","2"
"03/09/2022","933-Tenor/Bass Chorus","26","Ridgeview Middle School","483808009101","Round Rock","Karen Fincher","","Mark Henry","CCC","Non-Varsity","A","167669","She Walks in Beauty","Farnell","As The Holly Groweth Green","Crocker/Leavitt","None of Us Cared for Kate","Farnell","Gretchen Guseman","Jordan Ricks","Leslie Tanner","2","1","1","1","David Beussman","Karen Lloyd","Andrea Snouffer","1","1","1","1","D"
"03/09/2022","933-Tenor/Bass Chorus","26","Walsh Middle School","246909052	","Round Rock","Collie Roland","","Justi Riley","CCC","Sub Non-Varsity","","168162","Aura Lee (12623)","Poulton/Crocker","20 Shady Grove (from Two-Part American Songs Book Two) (15226)","Williams","The Shepherds Spiritual (12715)","Anon. or Trad./Moore","Gretchen Guseman","Jordan Ricks","Leslie Tanner","1","1","3","1","David Beussman","Karen Lloyd","Andrea Snouffer","1","1","1","1","D"
"03/09/2022","935-Treble Chorus","26","Benold Middle School","1967429","Georgetown","Jason Gallardo","Bryan Pulver","Barbara Lowrance","CC","Non-Varsity","","170846","The Arrow and the Song","Beery","Gaudeamus Hodie","Earlene Rentz","Prettier Far Than These","Beery","Gretchen Guseman","Jordan Ricks","Leslie Tanner","2","2","2","2","David Beussman","Karen Lloyd","Andrea Snouffer","1","1","1","1","2"
