UNIVERSITY INTERSCHOLASTIC LEAGUE
OFFICIAL CONCERT & SIGHTREADING CONTEST RESULTS
"Contest Date","Event","Region","School","TEA Code","City","Director","Additional Director","Accompanist","Conference","Classification","Non-Varsity Group","Entry Number","Title 1","Composer 1","Title 2","Composer 2","Title 3","Composer 3","Concert Judge","Concert Judge","Concert Judge","Concert Score 1","Concert Score 2","Concert Score 3","Concert Final Score","Sight Reading Judge","Sight Reading Judge","Sight Reading Judge","Sight Reading Score 1","Sight Reading Score 2","Sight Reading Score 3","Sight Reading Final Score","Award"
"04/17/2013","931-Mixed Chorus","11","Brandeis","","San Antonio","Rebecca Dawson","","","AAAAA","Varsity","","81635","Ave Verum Corpus (Latin)","Mozart/Jones","O Praise the Mighty Lord (from Joshua)  ","Handel/Liebergen","Old El Paso","lieninger","Alicia Owens","Jaime Perez","Lynda Ice","1","1","1","1"," Dennis Richardson","Randy Jordan","Jehu Hernandez","1","1","1","1","A"
"04/17/2013","931-Mixed Chorus","11","Del Rio High School","","Del Rio ","Josue Gonzalez","","Isaac Aldaco","AAAAA","Varsity","","79222","God so Loved the World","Stainer","Contrapunto Bestiale","Banchieri","A Red  Red Rose","Mulholland/Rodby","Alicia Owens","Jaime Perez","Lynda Ice","1","2","2","2"," Dennis Richardson","Randy Jordan","Jehu Hernandez","4","3","3","3",""
"04/17/2013","931-Mixed Chorus","11","Earl Warren High School","","San Antonio","Anna Trawick","","","AAAAA","Varsity","","82320","Esto Les Digo (SATB  sop solo)","Lange/ ","Zum Gali (Dance the Hora!) (SATB divisi)","Anon. or Trad./Goldman","All That They Had They Gave","Andrea Ramsey","Alicia Owens","Jaime Perez","Lynda Ice","1","1","1","1"," Dennis Richardson","Randy Jordan","Jehu Hernandez","3","2","2","2","1"
"04/17/2013","931-Mixed Chorus","11","Health Careers High School","","San Antonio","Mark Stephen Marty","Martha Medellin","Seth Nelson","AAAAA","Varsity","","82290","Der Gang Zum Liebchen (German)","Brahms/ ","Dirait-On (from Les Chansons des Roses) (SATBB) (French)","Lauridsen/ ","This Is the Day (Haec est dies) (English or Latin) (double choir)","Gallus/Thomas","Alicia Owens","Jaime Perez","Lynda Ice","1","1","1","1"," Dennis Richardson","Randy Jordan","Jehu Hernandez","2","2","1","1","1"
"04/17/2013","931-Mixed Chorus","11","Jay High School","","San Antonio","David Ayon","","Pat Strawn","AAAAA","Varsity","","86011","El Mar","Ramsey","Sonnet of the Moon","Childs","Sing Alleluia Clap Your Hands","Albrecht","Alicia Owens","Jaime Perez","Lynda Ice","1","2","2","2"," Dennis Richardson","Randy Jordan","Jehu Hernandez","3","3","3","3",""
"04/17/2013","931-Mixed Chorus","11","John Marshall High School","","San Antonio","Sherry Millican","","Manahara Virasinha","AAAAA","Varsity","","82105","Allon  Gay Bergeres","Guillaume Costeley","Rise Up  My Love  My Fair One","Healey Willan","The Little Beggarman","Emily Crocker","Alicia Owens","Jaime Perez","Lynda Ice","1","1","1","1"," Dennis Richardson","Randy Jordan","Jehu Hernandez","2","2","2","2","1"
"04/17/2013","931-Mixed Chorus","11","O'Connor HS","","Helotes","Maria Henry","","none","AAAAA","Varsity","","85888","My Spirit Sang All Day (SATB)","Finzi/ ","Twa Tanbou","Guillaume","Alleluia (SATB)","Manuel/ ","Alicia Owens","Jaime Perez","Lynda Ice","1","1","1","1"," Dennis Richardson","Randy Jordan","Jehu Hernandez","1","1","1","1","A"
"04/17/2013","931-Mixed Chorus","11","Southwest High School","","San Antonio","Elizabeth Krajewski","","Paul Rauschhuber","AAAAA","NVar-Combined","","84120","Et in Terra Pax (3 part mixed)","Lightfoot/ ","A Red  Red Rose (SAB)","Burton/ ","How Can I Keep From Singing?","Gilpin","Alicia Owens","Jaime Perez","Lynda Ice","2","3","3","3"," Dennis Richardson","Randy Jordan","Jehu Hernandez","5","4","4","4",""
"04/17/2013","931-Mixed Chorus","11","Stevens High School","","San Antonio","Vicke King","","Paula Boylan","AAAAA","Varsity","","83986","Your Voices Tune","Handel/Malin","Esto Les Digo (SATB  sop solo)","Lange/ ","Ave Verum Corpus (Latin)","Mozart/Jones","Alicia Owens","Jaime Perez","Lynda Ice","1","1","1","1"," Dennis Richardson","Randy Jordan","Jehu Hernandez","2","2","2","2","1"
"04/17/2013","931-Mixed Chorus","11","Tom C. Clark High School","","San Antonio","James Hare","","","AAAAA","Varsity","","84533","Musicks Empire from Triptych (SATB divisi)","Pfautsch/ ","Hodie  Christus natus est (Latin)","Willan/ ","Bogoroditse Devo  Raduysia","Rachmaninoff","Alicia Owens","Jaime Perez","Lynda Ice","1","1","1","1"," Dennis Richardson","Randy Jordan","Jehu Hernandez","1","1","1","1","A"
"04/17/2013","931-Mixed Chorus","11","William H. Taft High School","","Grey Forest ","judy Welch ","","TBA","AAAAA","Varsity","","78419","See the Chariot at Hand (SATB divisi)","Vaughan Williams/ ","Petite Nymphe Folastre (French)","Jannequin/Klein","Ave Maria (SATB div) (organ or keyboard)","Busto/ ","Alicia Owens","Jaime Perez","Lynda Ice","2","1","2","2"," Dennis Richardson","Randy Jordan","Jehu Hernandez","2","2","1","2",""
"04/17/2013","933-Tenor/Bass Chorus","11","Brandeis","","San Antonio","Rebecca Dawson","","","AAAAA","Varsity","","81643","Psalm 103 (TTBB) (horn in F & piano)","Mulholland/ ","For The Fallen  ","Sammes/ ","O Mistress Mine","Jim Leininger","Alicia Owens","Jaime Perez","Lynda Ice","1","1","1","1"," Dennis Richardson","Randy Jordan","Jehu Hernandez","2","2","2","2","1"
"04/17/2013","933-Tenor/Bass Chorus","11","Jay High School","","San Antonio","David Ayon","","Pat Strawn","AAAAA","Varsity","","86014","Sam was a Man","Persichetti","Loch Lomond","Quick","Hvalite imia Ghospoda","Chesnokov","Alicia Owens","Jaime Perez","Lynda Ice","2","2","2","2"," Dennis Richardson","Randy Jordan","Jehu Hernandez","2","2","2","2",""
"04/17/2013","933-Tenor/Bass Chorus","11","William H. Taft High School","","Grey Forest ","judy Welch ","","Johnson","AAAAA","Varsity","","81336","The Story Of The Rose  ","Mack/ ","The Awakening  ","Martin/ ","Gloria in Excelsis Deo (from Gloria) (TTB)","Vivaldi/Porterfield","Alicia Owens","Jaime Perez","Lynda Ice","1","2","2","2"," Dennis Richardson","Randy Jordan","Jehu Hernandez","3","2","2","2",""
"04/17/2013","935-Treble Chorus","11","Brandeis","","San Antonio","Rebecca Dawson","","","AAAAA","Non-Varsity","","81641","Arise  My Love (SSA)","Farnell/ ","In Paradisum (from Requiem  Opus 48) (SSA)","Faure/Rentz","The Night Has a Thousand Eyes","Jim Leininger","Alicia Owens","Jaime Perez","Lynda Ice","1","2","2","2"," Dennis Richardson","Randy Jordan","Jehu Hernandez","1","1","1","1","1"
"04/17/2013","935-Treble Chorus","11","Brandeis","","San Antonio","Rebecca Dawson","","","AAAAA","Varsity","","81639","Wir eilen mit schwachen  doch emsigen Schritten (German) (SA)","Bach/Talmadge","He's Gone Away (from Three Mountain Ballads)  ","Anon. or Trad./Nelson","Lift Thine Eyes","Mendelssohn","Alicia Owens","Jaime Perez","Lynda Ice","1","1","1","1"," Dennis Richardson","Randy Jordan","Jehu Hernandez","1","1","1","1","B"
"04/17/2013","935-Treble Chorus","11","Del Rio High School","","Del Rio ","Josue Gonzalez","","Isaac Aldaco","AAAAA","Non-Varsity","","79226","Bright Is the Ring of Words  ","Vaughan Williams/Wagner","All Join Hands  ","Anon. or Trad./Crocker","The Sky Is Crying on the Sea","Ruth Elaine Schram","Alicia Owens","Jaime Perez","Lynda Ice","2","2","3","2"," Dennis Richardson","Randy Jordan","Jehu Hernandez","4","4","4","4",""
"04/17/2013","935-Treble Chorus","11","Earl Warren High School","","San Antonio","Anna Trawick","","","AAAAA","Non-Varsity","","82344","Lachen und Weinen (German)","Schubert/Spevacek","Lux Aeterna (Light Eternal from Missa) (SSA divisi) (organ or keyboard)","Stroope/ ","Rise Up  My Love (SSAA)","Daley/ ","Alicia Owens","Jaime Perez","Lynda Ice","1","1","1","1"," Dennis Richardson","Randy Jordan","Jehu Hernandez","2","2","2","2","1"
"04/17/2013","935-Treble Chorus","11","Earl Warren High School","","San Antonio","Anna Trawick","","","AAAAA","Varsity","","82338","All That Hath Life and Breath Praise Ye the Lord! (sop solo)","Clausen/Weiler","I Will Be Earth (SSA)","Walker/ ","Hoj  Hura  Hoj (O Mountain  O) (SSAA  soli)","Macha/ ","Alicia Owens","Jaime Perez","Lynda Ice","1","1","1","1"," Dennis Richardson","Randy Jordan","Jehu Hernandez","1","1","1","1","B"
"04/17/2013","935-Treble Chorus","11","Health Careers High School","","San Antonio","Martha Medellin","Mark Marty","","AAAAA","Non-Varsity","","84049","Ave Maria [SS(S)A or (Latin) (SSSA)]","Keating/ ","My Heart's in the Highlands  ","Wagner/ ","Gloria","Davison ","Alicia Owens","Jaime Perez","Lynda Ice","1","1","1","1"," Dennis Richardson","Randy Jordan","Jehu Hernandez","2","2","1","2","1"
"04/17/2013","935-Treble Chorus","11","Health Careers High School","","San Antonio","Martha Medellin","Mark Marty","Seth Nelson","AAAAA","Varsity","","83997","Orpheus With His Lute (oboe & vlc opt)","Vaughan Williams/McDowell","1. Fairies' Song (from Three Madrigals)  ","Krenek/ ","There Is No Rose from 'A Ceremony of Carols'","Benjamin Britten","Alicia Owens","Jaime Perez","Lynda Ice","1","1","1","1"," Dennis Richardson","Randy Jordan","Jehu Hernandez","2","2","1","2","1"
"04/17/2013","935-Treble Chorus","11","Holmes High School","","San Antonio","Vanessa Alvarado","","Paul Rauschhuber","AAAAA","Varsity","","86031","O Pasorelle  Addio","Giordano","Rise Up  My Love","Daley","Gerakina","Leck","Alicia Owens","Jaime Perez","Lynda Ice","1","1","1","1"," Dennis Richardson","Randy Jordan","Jehu Hernandez","2","1","1","1","B"
"04/17/2013","935-Treble Chorus","11","John Marshall High School","","San Antonio","Alyssa Bradford","","Manahara Virasinha","AAAAA","Non-Varsity","","82894","Il Yat Un Coq Qui Chante (The Singing Rooster) (SA)","Anon. or Trad./Robinovitch","Te Quiero (Spanish) (SSA w/ sop solo)","Favero/Cangiano","In You I Found","Laura Farnell","Alicia Owens","Jaime Perez","Lynda Ice","2","2","2","2"," Dennis Richardson","Randy Jordan","Jehu Hernandez","2","2","1","2",""
"04/17/2013","935-Treble Chorus","11","John Marshall High School","","San Antonio","Sherry Millican","Alyssa Bradford","Manahara Virasinha","AAAAA","Varsity","","82108","How Merrily We Live","Este/Barrie","Ave Maria  Op. 93","Faure","Exaudi! Laudate!","Patton","Alicia Owens","Jaime Perez","Lynda Ice","2","1","2","2"," Dennis Richardson","Randy Jordan","Jehu Hernandez","3","2","3","3",""
"04/17/2013","935-Treble Chorus","11","O'Connor HS","","Helotes","Maria Henry","","Samuel Gaskins","AAAAA","Varsity","","85889","Fantoches (SSA)","Debussy/Raines","Muie Rendera (SSAA)","Anon. or Trad./Fonseca","Ave Maris Stella","Antognini","Alicia Owens","Jaime Perez","Lynda Ice","1","1","1","1"," Dennis Richardson","Randy Jordan","Jehu Hernandez","1","1","1","1","B"
"04/17/2013","935-Treble Chorus","11","O'Connor HS","","Helotes","Maria Henry","","Samuel Gaskins","AAAAA","Non-Varsity","A","85886","Cantate Hodie (Sing Today) (SSA)","Lightfoot/ ","S'vivon (2 part w/ 4 part canon)","Anon. or Trad./Bertaux","Remember Me (SSA)","Farnell/ ","Alicia Owens","Jaime Perez","Lynda Ice","2","2","1","2"," Dennis Richardson","Randy Jordan","Jehu Hernandez","2","2","2","2",""
"04/17/2013","935-Treble Chorus","11","Southwest High School","","San Antonio","Elizabeth Krajewski","","Paul Rauschhuber","AAAAA","Non-Varsity","A","84179","Gloria Festiva (Latin)","Crocker/ ","Evening Rondeau  ","Purcell/Jacques","Jubilate! (2 part)","Curtright/ ","Alicia Owens","Jaime Perez","Lynda Ice","3","3","3","3"," Dennis Richardson","Randy Jordan","Jehu Hernandez","5","5","4","5",""
"04/17/2013","935-Treble Chorus","11","Stevens High School","","San Antonio","Vicke King","","Paula Boylan","AAAAA","Non-Varsity","","84006","Gloria Festiva (Latin)","Crocker/ ","Non Nobis  Domine (SSA)","Byrd/Bartle","Danza  Danza (2 part)","Anon. or Trad./Snyder","Alicia Owens","Jaime Perez","Lynda Ice","1","1","1","1"," Dennis Richardson","Randy Jordan","Jehu Hernandez","4","3","4","4","1"
"04/17/2013","935-Treble Chorus","11","Tom C. Clark High School","","San Antonio","James Hare","","Manahara Virasinha","AAAAA","Non-Varsity","","84549","Longing  ","Crocker/ ","Deo Gracias (hand drum)","Leininger/ ","No More The Winter's Hand","Schram/Parker","Alicia Owens","Jaime Perez","Lynda Ice","1","2","2","2"," Dennis Richardson","Randy Jordan","Jehu Hernandez","1","1","1","1","1"
