UNIVERSITY INTERSCHOLASTIC LEAGUE
OFFICIAL CONCERT & SIGHTREADING CONTEST RESULTS
"Contest Date","Event","Region","School","TEA Code","City","Director","Additional Director","Accompanist","Conference","Classification","Non-Varsity Group","Entry Number","Title 1","Composer 1","Title 2","Composer 2","Title 3","Composer 3","Concert Judge","Concert Judge","Concert Judge","Concert Score 1","Concert Score 2","Concert Score 3","Concert Final Score","Sight Reading Judge","Sight Reading Judge","Sight Reading Judge","Sight Reading Score 1","Sight Reading Score 2","Sight Reading Score 3","Sight Reading Final Score","Award"
"03/30/2022","931-Mixed Chorus","1","Bonham MS","188-901-048","Amarillo","Lizzi Manfredi","Mariana Pacheco","Marcus Bradford","CC","Varsity","","175034","Whatever Is True","Trotta","Je le vous dirai! (11276) (French) (a cappella)","Certon/Leavitt","Lord I Know I Been Changed (17740) (SATB) (accomp)","Shackley","Laura Grametbaur","Lindsey Spitsberg","Greg Haugen","2","1","1","1","Robin Mikalunas","Crystal Townzen","Wendy Weeks  ","1","1","1","1","C"
"03/30/2022","931-Mixed Chorus","1","Borger Middle School","117-901","Borger","Holly Johnston","","Melanie Sharp","CC","Varsity","","172766","Sanctus (17735) (SAT(B)) (accomp)","Howard","How Fair a Rose  (from Three New Madrigals) (14983) (SAB) (a cappella)","Althouse","And This Shall Be for Music (17732) (SAB) (accomp)","Lightfoot","Laura Grametbaur","Lindsey Spitsberg","Greg Haugen","2","1","1","1","Robin Mikalunas","Crystal Townzen","Wendy Weeks  ","1","2","1","1","C"
"03/30/2022","931-Mixed Chorus","1","Crockett Middle School","188901043","Amarillo","Lauren Selman ","","Cristi Dollar","CC","Varsity","","174793","Set Me As a Seal ","Leavitt","Give Me Your Stars To Hold","Gray","Gaudeamus Hodie","Earlene Rentz","Laura Grametbaur","Lindsey Spitsberg","Greg Haugen","2","1","1","1","Robin Mikalunas","Crystal Townzen","Wendy Weeks  ","1","1","1","1","C"
"03/30/2022","933-Tenor/Bass Chorus","1","Bonham MS","188-901-048","Amarillo","Lizzi Manfredi","Mariana Pacheco","Marcus Bradford","CC","Varsity","","175031","Cover Me with the Night (20791) (TTB)(accomp)","Ramsey","Shoshone Love Song (12640) (TBB) (accomp)","Emerson","Bound For Jubilee (12685) (a cappella)","Eilers","Laura Grametbaur","Lindsey Spitsberg","Greg Haugen","1","1","1","1","Robin Mikalunas","Crystal Townzen","Wendy Weeks  ","1","1","1","1","C"
"03/30/2022","933-Tenor/Bass Chorus","1","Borger Middle School","117-901","Borger","Holly Johnston","","Melanie Sharp","CC","Varsity","","172768","Three Latin Songs (18500) (T(T)B)(perform number 1 or 3) (a cappella) (I. Gloria Deo)","Farnell","In Everything Her Loveliness (22702) (TB) (accomp)","Courtney","All Night Today (All Nonsense) (21968) (T(T)B) (accomp)","Jones","Laura Grametbaur","Lindsey Spitsberg","Greg Haugen","1","1","1","1","Robin Mikalunas","Crystal Townzen","Wendy Weeks  ","1","2","2","2","2"
"03/30/2022","933-Tenor/Bass Chorus","1","Bowie Middle School","188901042","Amarillo","Brian Warren","","Libby Clifton","CCC","Non-Varsity","","174047","What Shall We Do With a Drunken Sailor (12643) (accomp)","Anon. or Trad./Ponce","This Train (12642) (accomp)","Anon. or Trad./Moore","Aura Lee (12623) (accomp)","Poulton/Crocker","Laura Grametbaur","Lindsey Spitsberg","Greg Haugen","2","2","2","2","Robin Mikalunas","Crystal Townzen","Wendy Weeks  ","1","1","1","1","2"
"03/30/2022","933-Tenor/Bass Chorus","1","Bushland Middle School","188902","Bushland","Judy Harvel","Stephanie Fauss","Stephanie Fauss","CC","Non-Varsity","","175148","The Shepherds Spiritual (12715) (TB  opt solo) (opt tambourine) (accomp)","Anon. or Trad./Moore","All the World was Made for Me (17784) (TB)(a cappella or accomp) (a cappella)","Farnell","Benedictus (15220) (accomp)","Schram","Laura Grametbaur","Lindsey Spitsberg","Greg Haugen","2","2","2","2","Robin Mikalunas","Crystal Townzen","Wendy Weeks  ","2","2","3","2",""
"03/30/2022","933-Tenor/Bass Chorus","1","Canyon Jr High","191-901-041","Canyon","Heather Farren","","Dr. Nathan Fryml","CC","Non-Varsity","","174180","Sea Remembrance","Farnell","Aura Lee","Crocker","Over My Head","Crocker","Laura Grametbaur","Lindsey Spitsberg","Greg Haugen","2","1","1","1","Robin Mikalunas","Crystal Townzen","Wendy Weeks  ","1","1","1","1","D"
"03/30/2022","933-Tenor/Bass Chorus","1","Canyon Jr High","191-901-041","Canyon","Heather Farren","Jeremy Talley","Dr. Nathan Fryml","CC","Varsity","","173097","A Festive Alleluia","Lightfoot","Star of Light","Farnell","Obwisana","Johnson","Laura Grametbaur","Lindsey Spitsberg","Greg Haugen","1","1","1","1","Robin Mikalunas","Crystal Townzen","Wendy Weeks  ","1","1","1","1","C"
"03/30/2022","933-Tenor/Bass Chorus","1","Crockett Middle School","188-901-043","Amarillo","Mariana Pacheco","Lauren Selman","Cristi Dollar","CC","Non-Varsity","","174952","Sons of Art","Emily Crocker","Follow Me","Emily Crocker","New River Train","Donald Moore","Laura Grametbaur","Lindsey Spitsberg","Greg Haugen","3","3","2","3","Robin Mikalunas","Crystal Townzen","Wendy Weeks  ","2","2","4","2",""
